language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
KATE	kmg	I	1209	1	no	1	n o	
MAPE_2	mlh	I	1209	1	no	1	n o	
DEDUA	ded	I	1209	1	ni	2	n i	
HUBE	kgf	I	1209	1	ni	2	n i	
TOBO	tbv	I	1209	1	ni	2	n i	
KOSORONG	ksr	I	1209	1	ni	2	n i	
MINDIK	bmu	I	1209	1	ni	2	n i	
BURUM	bmu	I	1209	1	ni	2	n i	
ONO	ons	I	1209	1	na	1	n a	
KOMBA	kpf	I	1209	1	no	1	n o	
SELEPET	spl	I	1209	1	no	1	n o	
TIMBE	tim	I	1209	1	no	1	n o	
NABAK	naf	I	1209	1	n3N	1	n 3 N	
MOMOLILI	mci	I	1209	1	na	1	n a	
KATE	kmg	thou	1215	2	go	1	g o	
MAPE_2	mlh	thou	1215	2	go	1	g o	
DEDUA	ded	thou	1215	2	ge	2	g e	
HUBE	kgf	thou	1215	2	gi	2	g i	
TOBO	tbv	thou	1215	2	gi	2	g i	
KOSORONG	ksr	thou	1215	2	gi	2	g i	
MINDIK	bmu	thou	1215	2	gi	2	g i	
BURUM	bmu	thou	1215	2	gi	2	g i	
ONO	ons	thou	1215	2	ge	2	g e	
KOMBA	kpf	thou	1215	2	go	1	g o	
SELEPET	spl	thou	1215	2	go	1	g o	
TIMBE	tim	thou	1215	2	go	1	g o	
NABAK	naf	thou	1215	2	g3N	1	g 3 N	
MOMOLILI	mci	thou	1215	2	ga	1	g a	
KATE	kmg	we	1212	3	noNo7	1	n o N o 7	
MAPE_2	mlh	we	1212	3	noNu	1	n o N u	
DEDUA	ded	we	1212	3	nini	2	n i n i	
HUBE	kgf	we	1212	3	nini	2	n i n i	
TOBO	tbv	we	1212	3	nini	2	n i n i	
KOSORONG	ksr	we	1212	3	nono	1	n o n o	
MINDIK	bmu	we	1212	3	nini	2	n i n i	
BURUM	bmu	we	1212	3	nini	2	n i n i	
ONO	ons	we	1212	3	Nedo	3	N e d o	
KOMBA	kpf	we	1212	3	nen	2	n e n	
SELEPET	spl	we	1212	3	nen	2	n e n	
TIMBE	tim	we	1212	3	nen	2	n e n	
NABAK	naf	we	1212	3	nin	2	n i n	
MOMOLILI	mci	we	1212	3	ni	2	n i	
KATE	kmg	this	1214	4	ci	1	c i	
MAPE_2	mlh	this	1214	4	oi	2	o i	
DEDUA	ded	this	1214	4	i	3	i	
HUBE	kgf	this	1214	4	i	3	i	
TOBO	tbv	this	1214	4	mu	4	m u	
KOSORONG	ksr	this	1214	4	i	3	i	
MINDIK	bmu	this	1214	4	mu	4	m u	
BURUM	bmu	this	1214	4	ke	5	k e	
ONO	ons	this	1214	4	i	3	i	
KOMBA	kpf	this	1214	4	zi	1	z i	
SELEPET	spl	this	1214	4	yu	6	y u	
TIMBE	tim	this	1214	4	i	3	i	
NABAK	naf	this	1214	4	kapi	7	k a p i	
MOMOLILI	mci	this	1214	4	wi	8	w i	
KATE	kmg	that	78	5	i	1	i	
MAPE_2	mlh	that	78	5	o	2	o	
DEDUA	ded	that	78	5	yo	3	y o	
HUBE	kgf	that	78	5	yo	3	y o	
TOBO	tbv	that	78	5	mi	4	m i	
KOSORONG	ksr	that	78	5	lo	3	l o	
MINDIK	bmu	that	78	5	me	4	m e	
BURUM	bmu	that	78	5	me	4	m e	
ONO	ons	that	78	5	eri	5	e r i	
KOMBA	kpf	that	78	5	zo	3	z o	
SELEPET	spl	that	78	5	ya	3	y a	
TIMBE	tim	that	78	5	ido	6	i d o	
NABAK	naf	that	78	5	ke	7	k e	
MOMOLILI	mci	that	78	5	mei	4	m e i	
KATE	kmg	who	1235	6	mo7	1	m o 7	
MAPE_2	mlh	who	1235	6	mo7	1	m o 7	
DEDUA	ded	who	1235	6	moN	1	m o N	
HUBE	kgf	who	1235	6	moN	1	m o N	
TOBO	tbv	who	1235	6	moN	1	m o N	
KOSORONG	ksr	who	1235	6	moN	1	m o N	
MINDIK	bmu	who	1235	6	moN	2	m o N	
BURUM	bmu	who	1235	6	kun	2	k u n	
ONO	ons	who	1235	6	mane	3	m a n e	
KOMBA	kpf	who	1235	6	Nai	4	N a i	
SELEPET	spl	who	1235	6	olo	5	o l o	
TIMBE	tim	who	1235	6	kio	6	k i o	
NABAK	naf	who	1235	6	kureki	7	k u r e k i	
MOMOLILI	mci	who	1235	6	ala	5	a l a	
KATE	kmg	what	1236	7	wemo	1	w e m o	
MAPE_2	mlh	what	1236	7	wamo	1	w a m o	
DEDUA	ded	what	1236	7	dafi	2	d a f i	
HUBE	kgf	what	1236	7	nemak	3	n e m a k	
TOBO	tbv	what	1236	7	nomat	3	n o m a t	
KOSORONG	ksr	what	1236	7	namuNak	4	n a m u N a k	
MINDIK	bmu	what	1236	7	nowo	5	n o w o	
BURUM	bmu	what	1236	7	wania	6	w a n i a	
ONO	ons	what	1236	7	onoka	7	o n o k a	
KOMBA	kpf	what	1236	7	wan	6	w a n	
SELEPET	spl	what	1236	7	wuon	6	w u o n	
TIMBE	tim	what	1236	7	wan	6	w a n	
NABAK	naf	what	1236	7	pitne	8	p i t n e	
MOMOLILI	mci	what	1236	7	wana	6	w a n a	
KATE	kmg	not	1240	8	mi	1	m i	
MAPE_2	mlh	not	1240	8	so	2	s o	
DEDUA	ded	not	1240	8	mi	1	m i	
HUBE	kgf	not	1240	8	munda	3	m u n d a	
TOBO	tbv	not	1240	8	mondo	3	m o n d o	
KOSORONG	ksr	not	1240	8	mende	3	m e n d e	
MINDIK	bmu	not	1240	8	kp~aho	4	kp~ a h o	
BURUM	bmu	not	1240	8	kp~ahop	4	kp~ a h o p	
ONO	ons	not	1240	8	mi	1	m i	
KOMBA	kpf	not	1240	8	mo	1	m o	
SELEPET	spl	not	1240	8	ki	5	k i	
TIMBE	tim	not	1240	8	bo	6	b o	
NABAK	naf	not	1240	8	ku	5	k u	
MOMOLILI	mci	not	1240	8	k3m	7	k 3 m	
KATE	kmg	all	98	9	sasawa	1	s a s a w a	
MAPE_2	mlh	all	98	9	sosowo	1	s o s o w o	
DEDUA	ded	all	98	9	sasawa	1	s a s a w a	
HUBE	kgf	all	98	9	mokcoN	2	m o k c o N	
TOBO	tbv	all	98	9	eNalek	3	e N a l e k	
KOSORONG	ksr	all	98	9	kuya	4	k u y a	
MINDIK	bmu	all	98	9	moketaNi	5	m o k e t a N i	
BURUM	bmu	all	98	9	kp~akp~ak	6	kp~ a kp~ a k	
ONO	ons	all	98	9	korop	7	k o r o p	
KOMBA	kpf	all	98	9	aksik	8	a k s i k	
SELEPET	spl	all	98	9	kerek	9	k e r e k	
