language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
SYRIAC_2	syc	I	1209	1	ena	21	
ARABIC_QURANIC	arb	I	1209	1	ana	21	
ARABIC_LEBANESE	apc	I	1209	1	ani	21	
GEEZ	gez	I	1209	1	ana	21	
TIGRAI	tir	I	1209	1	ane	21	
AMHARIC_3	amh	I	1209	1	3ne	21	
HARARI_2	har	I	1209	1	an	21	
MEHRI_2	gdq	I	1209	1	hoh	22	
JIBBALI	shv	I	1209	1	he	22	also: he7
SOQOTRI_2	sqt	I	1209	1	hohon	22	
SIWA	siz	I	1209	1	niS	21	also: n3S
GHADAMES_2	gha	I	1209	1	neS	21	
AHAGGAR	thv	I	1209	1	n3k	21	
ZENAGA_2	zen	I	1209	1	nik	21	
QABYLE	kab	I	1209	1	n3k	21	
HAUSA_3	hau	I	1209	1	na	21	
BOLEWA	bol	I	1209	1	ina	21	
BEJA_2	bej	I	1209	1	ani	21	
OROMO	gaz	I	1209	1	ana	21	also: ani
DAHALO_2	dal	I	1209	1	a5i	21	
KAFFA	kbr	I	1209	1	ta	24	
SYRIAC_2	syc	come	1446	66	ty	3	
ARABIC_QURANIC	arb	come	1446	66	ty	3	also: j7y
ARABIC_LEBANESE	apc	come	1446	66	3Za	4	
GEEZ	gez	come	1446	66	mc7	5	
TIGRAI	tir	come	1446	66	masX~7e	5	
AMHARIC_3	amh	come	1446	66	m3ta	5	
HARARI_2	har	come	1446	66	%diZa	-2	
MEHRI_2	gdq	come	1446	66	nukaX	6	
JIBBALI	shv	come	1446	66	nikaX	6	
SOQOTRI_2	sqt	come	1446	66	gedah	7	
SIWA	siz	come	1446	66	us	9	
GHADAMES_2	gha	come	1446	66	as	9	
AHAGGAR	thv	come	1446	66	as	9	
ZENAGA_2	zen	come	1446	66	Sed	10	
QABYLE	kab	come	1446	66	as	9	
HAUSA_3	hau	come	1446	66	zo	11	
BOLEWA	bol	come	1446	66	diNgo	12	
BEJA_2	bej	come	1446	66	yit	8	also: i
OROMO	gaz	come	1446	66	dufa	13	
DAHALO_2	dal	come	1446	66	haX	14	
KAFFA	kbr	come	1446	66	wa	8	
SYRIAC_2	syc	water	948	75	maye	1	
ARABIC_QURANIC	arb	water	948	75	ma	1	
ARABIC_LEBANESE	apc	water	948	75	may	1	
GEEZ	gez	water	948	75	may	1	
TIGRAI	tir	water	948	75	may	1	
AMHARIC_3	amh	water	948	75	%w3ha	-2	
HARARI_2	har	water	948	75	miy	1	
MEHRI_2	gdq	water	948	75	Xemuh	1	
JIBBALI	shv	water	948	75	mih	1	
SOQOTRI_2	sqt	water	948	75	riho	2	
SIWA	siz	water	948	75	aman	3	
GHADAMES_2	gha	water	948	75	aman	3	
AHAGGAR	thv	water	948	75	aman	3	
ZENAGA_2	zen	water	948	75	aman	3	also: am3nh~
QABYLE	kab	water	948	75	aman	3	
HAUSA_3	hau	water	948	75	ruwa	2	
BOLEWA	bol	water	948	75	3ma	3	
BEJA_2	bej	water	948	75	yam	3	
OROMO	gaz	water	948	75	bisan	4	
DAHALO_2	dal	water	948	75	ma7a	1	
KAFFA	kbr	water	948	75	aCo	5	
SYRIAC_2	syc	mountain	639	86	tX~ur	53	
ARABIC_QURANIC	arb	mountain	639	86	Zabal	54	
ARABIC_LEBANESE	apc	mountain	639	86	Zabel	54	
GEEZ	gez	mountain	639	86	dab3r	55	
TIGRAI	tir	mountain	639	86	%mba	-2	
AMHARIC_3	amh	mountain	639	86	t3rara	56	
HARARI_2	har	mountain	639	86	sEri	57	
MEHRI_2	gdq	mountain	639	86	karmaym	58	
JIBBALI	shv	mountain	639	86	her	59	
SOQOTRI_2	sqt	mountain	639	86	fedehon	60	
SIWA	siz	mountain	639	86	adrar	62	
GHADAMES_2	gha	mountain	639	86	adurar	62	
AHAGGAR	thv	mountain	639	86	adrar	62	
ZENAGA_2	zen	mountain	639	86	%3rg3m	-2	
QABYLE	kab	mountain	639	86	adrar	62	
HAUSA_3	hau	mountain	639	86	"duC""e"	63	
BOLEWA	bol	mountain	639	86	guoS3w	64	
BEJA_2	bej	mountain	639	86	%reba	-2	
OROMO	gaz	mountain	639	86	tulu	65	
DAHALO_2	dal	mountain	639	86	%mulima	-2	
KAFFA	kbr	mountain	639	86	gudo	66	
SYRIAC_2	syc	sun	1343	72	SemS	1	
ARABIC_QURANIC	arb	sun	1343	72	Sams	1	
ARABIC_LEBANESE	apc	sun	1343	72	Sam3s	1	
GEEZ	gez	sun	1343	72	daXay	2	
TIGRAI	tir	sun	1343	72	sX~aXay	2	
AMHARIC_3	amh	sun	1343	72	tehay	2	also: s3hay, tay
HARARI_2	har	sun	1343	72	ir	3	
MEHRI_2	gdq	sun	1343	72	X3yum	4	
JIBBALI	shv	sun	1343	72	yum	4	
SOQOTRI_2	sqt	sun	1343	72	Sam	1	
SIWA	siz	sun	1343	72	tfukt	6	
GHADAMES_2	gha	sun	1343	72	isi	7	
AHAGGAR	thv	sun	1343	72	tafuk	6	
ZENAGA_2	zen	sun	1343	72	t37fukt	6	
QABYLE	kab	sun	1343	72	itiZ	8	
HAUSA_3	hau	sun	1343	72	rana	9	
BOLEWA	bol	sun	1343	72	futi	10	
BEJA_2	bej	sun	1343	72	yin	11	also: in
OROMO	gaz	sun	1343	72	adu	12	
DAHALO_2	dal	sun	1343	72	%ado	-2	
KAFFA	kbr	sun	1343	72	abo	13	
SYRIAC_2	syc	star	1430	74	kawb3b	71	
ARABIC_QURANIC	arb	star	1430	74	kawkab	71	
ARABIC_LEBANESE	apc	star	1430	74	niZmi	72	
GEEZ	gez	star	1430	74	kokab	71	
TIGRAI	tir	star	1430	74	kokob	71	
AMHARIC_3	amh	star	1430	74	kok3b	71	
HARARI_2	har	star	1430	74	tuy	73	
MEHRI_2	gdq	star	1430	74	kebkib	71	
JIBBALI	shv	star	1430	74	k3bkeb	71	
SOQOTRI_2	sqt	star	1430	74	kibSib	71	
SIWA	siz	star	1430	74	iri	75	
GHADAMES_2	gha	star	1430	74	iri	75	
AHAGGAR	thv	star	1430	74	atri	76	
ZENAGA_2	zen	star	1430	74	ed3ri	76	
QABYLE	kab	star	1430	74	itri	76	
HAUSA_3	hau	star	1430	74	tauraro	76	
BOLEWA	bol	star	1430	74	janja	77	
BEJA_2	bej	star	1430	74	hayuk	78	
OROMO	gaz	star	1430	74	urji	79	
DAHALO_2	dal	star	1430	74	%!ingilXe	-2	
KAFFA	kbr	star	1430	74	tojano	80	
SYRIAC_2	syc	one	1493	11	Xad	72	
ARABIC_QURANIC	arb	one	1493	11	waXid	72	
ARABIC_LEBANESE	apc	one	1493	11	w3Xad	72	
GEEZ	gez	one	1493	11	aXadu	72	
TIGRAI	tir	one	1493	11	Xada	72	
AMHARIC_3	amh	one	1493	11	and	72	
HARARI_2	har	one	1493	11	aXad	72	
MEHRI_2	gdq	one	1493	11	tat	73	also: tayt
JIBBALI	shv	one	1493	11	tad	73	
SOQOTRI_2	sqt	one	1493	11	tad	73	
SIWA	siz	one	1493	11	3j3n	74	
GHADAMES_2	gha	one	1493	11	yun	74	
AHAGGAR	thv	one	1493	11	y3n	74	also: iyan
ZENAGA_2	zen	one	1493	11	yu7u	74	also: 3yu7n
QABYLE	kab	one	1493	11	yiw3n	74	
HAUSA_3	hau	one	1493	11	daya	75	
BOLEWA	bol	one	1493	11	modi	75	
BEJA_2	bej	one	1493	11	gar	76	also: gal
OROMO	gaz	one	1493	11	toko	77	
DAHALO_2	dal	one	1493	11	watukw~e	77	
KAFFA	kbr	one	1493	11	iko	78	
SYRIAC_2	syc	two	1498	12	taren	52	
ARABIC_QURANIC	arb	two	1498	12	i8nani	51	
ARABIC_LEBANESE	apc	two	1498	12	tneyn	51	
GEEZ	gez	two	1498	12	k3l7e	53	
TIGRAI	tir	two	1498	12	k3l3te	53	
AMHARIC_3	amh	two	1498	12	hul3t	53	
HARARI_2	har	two	1498	12	ko7ot	53	
MEHRI_2	gdq	two	1498	12	deroh	52	
JIBBALI	shv	two	1498	12	troh	52	
SOQOTRI_2	sqt	two	1498	12	tiro	52	
SIWA	siz	two	1498	12	s3n	51	
GHADAMES_2	gha	two	1498	12	s3n	51	
AHAGGAR	thv	two	1498	12	3sin	51	
ZENAGA_2	zen	two	1498	12	Sinan	51	
QABYLE	kab	two	1498	12	sin	51	
HAUSA_3	hau	two	1498	12	biyu	54	
BOLEWA	bol	two	1498	12	bolo	54	
BEJA_2	bej	two	1498	12	malo	55	
OROMO	gaz	two	1498	12	lama	56	
DAHALO_2	dal	two	1498	12	li	56	
KAFFA	kbr	two	1498	12	guto	57	
SYRIAC_2	syc	stone	857	77	k3p	82	
ARABIC_QURANIC	arb	stone	857	77	XaZar	83	
ARABIC_LEBANESE	apc	stone	857	77	XaZar	83	
GEEZ	gez	stone	857	77	3b3n	81	
TIGRAI	tir	stone	857	77	3m3ni	81	
AMHARIC_3	amh	stone	857	77	%d3ngay	-2	
HARARI_2	har	stone	857	77	un	81	
