language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
KATE	kmg	I	1209	1	no	1	
MAPE_2	mlh	I	1209	1	no	1	
DEDUA	ded	I	1209	1	ni	2	
HUBE	kgf	I	1209	1	ni	2	
TOBO	tbv	I	1209	1	ni	2	
KOSORONG	ksr	I	1209	1	ni	2	
MINDIK	bmu	I	1209	1	ni	2	
BURUM	bmu	I	1209	1	ni	2	
ONO	ons	I	1209	1	na	1	
KOMBA	kpf	I	1209	1	no	1	
SELEPET	spl	I	1209	1	no	1	
TIMBE	tim	I	1209	1	no	1	
NABAK	naf	I	1209	1	n3N	1	
MOMOLILI	mci	I	1209	1	na	1	
KATE	kmg	thou	1215	2	go	1	
MAPE_2	mlh	thou	1215	2	go	1	
DEDUA	ded	thou	1215	2	ge	2	
HUBE	kgf	thou	1215	2	gi	2	
TOBO	tbv	thou	1215	2	gi	2	
KOSORONG	ksr	thou	1215	2	gi	2	
MINDIK	bmu	thou	1215	2	gi	2	
BURUM	bmu	thou	1215	2	gi	2	
ONO	ons	thou	1215	2	ge	2	
KOMBA	kpf	thou	1215	2	go	1	
SELEPET	spl	thou	1215	2	go	1	
TIMBE	tim	thou	1215	2	go	1	
NABAK	naf	thou	1215	2	g3N	1	
MOMOLILI	mci	thou	1215	2	ga	1	
KATE	kmg	we	1212	3	noNo7	1	
MAPE_2	mlh	we	1212	3	noNu	1	
DEDUA	ded	we	1212	3	nini	2	
HUBE	kgf	we	1212	3	nini	2	
TOBO	tbv	we	1212	3	nini	2	
KOSORONG	ksr	we	1212	3	nono	1	
MINDIK	bmu	we	1212	3	nini	2	
BURUM	bmu	we	1212	3	nini	2	
ONO	ons	we	1212	3	Nedo	3	
KOMBA	kpf	we	1212	3	nen	2	
SELEPET	spl	we	1212	3	nen	2	
TIMBE	tim	we	1212	3	nen	2	
NABAK	naf	we	1212	3	nin	2	
MOMOLILI	mci	we	1212	3	ni	2	
KATE	kmg	this	1214	4	ci	1	
MAPE_2	mlh	this	1214	4	oi	2	
DEDUA	ded	this	1214	4	i	3	
HUBE	kgf	this	1214	4	i	3	
TOBO	tbv	this	1214	4	mu	4	
KOSORONG	ksr	this	1214	4	i	3	
MINDIK	bmu	this	1214	4	mu	4	
BURUM	bmu	this	1214	4	ke	5	
ONO	ons	this	1214	4	i	3	
KOMBA	kpf	this	1214	4	zi	1	
SELEPET	spl	this	1214	4	yu	6	
TIMBE	tim	this	1214	4	i	3	
NABAK	naf	this	1214	4	kapi	7	
MOMOLILI	mci	this	1214	4	wi	8	
KATE	kmg	that	78	5	i	1	
MAPE_2	mlh	that	78	5	o	2	
DEDUA	ded	that	78	5	yo	3	
HUBE	kgf	that	78	5	yo	3	
TOBO	tbv	that	78	5	mi	4	
KOSORONG	ksr	that	78	5	lo	3	
MINDIK	bmu	that	78	5	me	4	
BURUM	bmu	that	78	5	me	4	
ONO	ons	that	78	5	eri	5	
KOMBA	kpf	that	78	5	zo	3	
SELEPET	spl	that	78	5	ya	3	
TIMBE	tim	that	78	5	ido	6	
NABAK	naf	that	78	5	ke	7	
MOMOLILI	mci	that	78	5	mei	4	
KATE	kmg	who	1235	6	mo7	1	
MAPE_2	mlh	who	1235	6	mo7	1	
DEDUA	ded	who	1235	6	moN	1	
