language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
SIAMESE	tha	I	1209	1	ku	1	
ZHUANG_SOUTHERN	zzj	I	1209	1	kau	2	
ZHUANG_NORTHERN	zgn	I	1209	1	kou	2	
SAEK	skb	I	1209	1	ku	2	
SUI	swi	I	1209	1	yu	2	
MULAO	mlm	I	1209	1	h3i	3	
KAM_ZHANGLU	doc	I	1209	1	yau	2	
MAONAN	mmd	I	1209	1	"h""e"	2	
ONG_BE	onb	I	1209	1	hau	2	
LAKKJA	lbc	I	1209	1	ci	4	
LI_TONGSHI	lic	I	1209	1	hou	2	
LI_BAODING	lic	I	1209	1	hou	2	
SIAMESE	tha	come	1446	66	ma	1	
ZHUANG_SOUTHERN	zzj	come	1446	66	ma	1	
ZHUANG_NORTHERN	zgn	come	1446	66	tau	-1	
SAEK	skb	come	1446	66	ma	1	
SUI	swi	come	1446	66	taN	-2	
MULAO	mlm	come	1446	66	taN	-2	
KAM_ZHANGLU	doc	come	1446	66	ma	1	
MAONAN	mmd	come	1446	66	taN	-2	
ONG_BE	onb	come	1446	66	nia	1	
LAKKJA	lbc	come	1446	66	taN	-2	
LI_TONGSHI	lic	come	1446	66	p3n	-3	
LI_BAODING	lic	come	1446	66	p3n	-3	
SIAMESE	tha	water	948	75	nam	1	
ZHUANG_SOUTHERN	zzj	water	948	75	nam	1	
ZHUANG_NORTHERN	zgn	water	948	75	xam	1	
SAEK	skb	water	948	75	nam	1	
SUI	swi	water	948	75	nam	1	
MULAO	mlm	water	948	75	n3m	1	
KAM_ZHANGLU	doc	water	948	75	nam	1	
MAONAN	mmd	water	948	75	nam	1	
ONG_BE	onb	water	948	75	nam	1	
LAKKJA	lbc	water	948	75	num	1	
LI_TONGSHI	lic	water	948	75	nam	1	
LI_BAODING	lic	water	948	75	nom	1	
SIAMESE	tha	mountain	639	86	ph~u	1	also: doy
ZHUANG_SOUTHERN	zzj	mountain	639	86	doN	3	
ZHUANG_NORTHERN	zgn	mountain	639	86	doi	-1	
