language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
TRING	kms	I	1209	1	Ne	1	
WAU	kms	I	1209	1	Ne	1	
KAMASAU	kms	I	1209	1	Ne	1	
YIBAB	kms	I	1209	1	Ne	1	
WANDOMI	kms	I	1209	1	Ne	1	
KENYARI	kms	I	1209	1	Nebi	1	
SAMAP	ele	I	1209	1	Na	1	
TRING	kms	come	1446	66	mandi	1	"=""they come"""
WAU	kms	come	1446	66	mandi	1	"= ""they come"""
KAMASAU	kms	come	1446	66	mandi	1	"= ""they come"""
YIBAB	kms	come	1446	66	mandi	1	"= ""they come"""
WANDOMI	kms	come	1446	66	mandi	1	"= ""they come"""
KENYARI	kms	come	1446	66	mandi	1	"= ""they come"""
PARUWA	kms	come	1446	66	mandi	1	"= ""they come"""
SAMAP	ele	come	1446	66	maN	1	"= ""they come"""
TRING	kms	water	948	75	wiye	1	
WAU	kms	water	948	75	wiye	1	
KAMASAU	kms	water	948	75	wiye	1	
YIBAB	kms	water	948	75	wiye	1	
WANDOMI	kms	water	948	75	wiye	1	
KENYARI	kms	water	948	75	wiye	1	
PARUWA	kms	water	948	75	wiye	1	
SAMAP	ele	water	948	75	wiye	1	
TRING	kms	mountain	639	86	rand	1	
WAU	kms	mountain	639	86	rand	1	
KAMASAU	kms	mountain	639	86	rand	1	
YIBAB	kms	mountain	639	86	rand	1	
WANDOMI	kms	mountain	639	86	randig	1	
KENYARI	kms	mountain	639	86	randi	1	
SAMAP	ele	mountain	639	86	paNg	2	
TRING	kms	sun	1343	72	Ni5	1	
WAU	kms	sun	1343	72	Ni5	1	
KAMASAU	kms	sun	1343	72	bogi	2	
YIBAB	kms	sun	1343	72	Ni5	1	
WANDOMI	kms	sun	1343	72	gi5	1	
KENYARI	kms	sun	1343	72	Ni5	1	
PARUWA	kms	sun	1343	72	Neni	1	
SAMAP	ele	sun	1343	72	bwog	2	
TRING	kms	star	1430	74	tomiNgi	1	
WAU	kms	star	1430	74	tomiNgi	1	
