language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
BURMESE	mya	I	1209	1	kyw$antau	1	
ZAIWA	atb	I	1209	1	No	2	
AKHA	ahk	I	1209	1	Na	2	
BIYUE	byo	I	1209	1	Na	2	
MPI	mpz	I	1209	1	No	2	
BISU	bzi	I	1209	1	ga	2	
JINO	jiu	I	1209	1	No	2	
LAHU	lhu	I	1209	1	Na	2	
XIDE	iii	I	1209	1	Na	2	
DAFANG	yig	I	1209	1	No	2	
NANJIANG	ywt	I	1209	1	No	2	
LISU	lis	I	1209	1	Nua	2	
NUSU	nuf	I	1209	1	Na	2	
ACHANG	acn	I	1209	1	No	2	
NAXI	nbf	I	1209	1	N3	2	
BURMESE	mya	come	1446	66	la	1	
ZAIWA	atb	come	1446	66	le	1	
AKHA	ahk	come	1446	66	la7	1	
BIYUE	byo	come	1446	66	la	1	also: l3
MPI	mpz	come	1446	66	lo	1	also: l3
BISU	bzi	come	1446	66	la	1	also: l3
JINO	jiu	come	1446	66	lo	1	
LAHU	lhu	come	1446	66	la	1	
XIDE	iii	come	1446	66	la	1	
DAFANG	yig	come	1446	66	lo	1	also: li
NANJIANG	ywt	come	1446	66	la	1	
LISU	lis	come	1446	66	la	1	
NUSU	nuf	come	1446	66	la	1	
ACHANG	acn	come	1446	66	Z3	2	
NAXI	nbf	come	1446	66	l3	2	also: ch~3
BURMESE	mya	water	948	75	riy	1	
ZAIWA	atb	water	948	75	iCh~o	1	
AKHA	ahk	water	948	75	ity~u	1	
BIYUE	byo	water	948	75	vch~v7	1	
MPI	mpz	water	948	75	ch~o7	3	
BISU	bzi	water	948	75	laN	4	
JINO	jiu	water	948	75	e Ch~o	1	
LAHU	lhu	water	948	75	ika7	1	
XIDE	iii	water	948	75	y3	1	
DAFANG	yig	water	948	75	yi	1	
NANJIANG	ywt	water	948	75	x3	1	
LISU	lis	water	948	75	ejE	1	
NUSU	nuf	water	948	75	rigra	1	
ACHANG	acn	water	948	75	ti	4	
NAXI	nbf	water	948	75	dy~i	1	
BURMESE	mya	mountain	639	86	tauN	1	
ZAIWA	atb	mountain	639	86	pum	2	
AKHA	ahk	mountain	639	86	gody~o	3	
BIYUE	byo	mountain	639	86	yumo	4	
MPI	mpz	mountain	639	86	opy~o	2	
BISU	bzi	mountain	639	86	tasE	5	
JINO	jiu	mountain	639	86	x3 th~a	5	
