language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
HMU	hea	I	1209	1	vi	1	
XIANGXI_HMONG	mmr	I	1209	1	we	1	
HMONG_NJUA	hnj	I	1209	1	ko	2	
BUNU	bwx	I	1209	1	Tun	3	
SHE_CHINA	shx	I	1209	1	vaN	1	
YAO	ium	I	1209	1	ye	4	
HMU	hea	come	1446	66	lo	1	
XIANGXI_HMONG	mmr	come	1446	66	lo	1	
HMONG_NJUA	hnj	come	1446	66	lo	1	
BUNU	bwx	come	1446	66	lo	1	also: to
SHE_CHINA	shx	come	1446	66	n3	1	
YAO	ium	come	1446	66	tai	2	
HMONG_NJUA	hnj	water	948	75	tle	2	
BUNU	bwx	water	948	75	an	1	
SHE_CHINA	shx	water	948	75	oN	1	
YAO	ium	water	948	75	wam	1	
HMU	hea	mountain	639	86	qapo	1	
XIANGXI_HMONG	mmr	mountain	639	86	qozei	2	
HMONG_NJUA	hnj	mountain	639	86	ton	3	
BUNU	bwx	mountain	639	86	8au	4	
SHE_CHINA	shx	mountain	639	86	ky~e	5	also: ho
YAO	ium	mountain	639	86	tTim	6	
HMU	hea	sun	1343	72	nh~E	1	
XIANGXI_HMONG	mmr	sun	1343	72	nh~e	1	
HMONG_NJUA	hnj	sun	1343	72	nh~o	1	
BUNU	bwx	sun	1343	72	minh~on	1	
SHE_CHINA	shx	sun	1343	72	noko	1	
YAO	ium	sun	1343	72	punh~oi	1	
HMU	hea	star	1430	74	tEqE	1	
XIANGXI_HMONG	mmr	star	1430	74	teteqelh~a	1	
HMONG_NJUA	hnj	star	1430	74	hn~oqo	1	
BUNU	bwx	star	1430	74	takuna	1	
SHE_CHINA	shx	star	1430	74	neitaN	1	
YAO	ium	star	1430	74	Lei	2	
YAO	ium	one	1493	11	yet	-1	
HMU	hea	stone	857	77	xi	1	
XIANGXI_HMONG	mmr	stone	857	77	qoz3	1	
HMONG_NJUA	hnj	stone	857	77	ze	1	
BUNU	bwx	stone	857	77	faxe	1	
SHE_CHINA	shx	stone	857	77	Nako	1	
YAO	ium	stone	857	77	laipy~ei	2	also: bEN
HMU	hea	skin	763	28	qatu	1	
XIANGXI_HMONG	mmr	skin	763	28	qoTo	2	
HMONG_NJUA	hnj	skin	763	28	teu	1	
BUNU	bwx	skin	763	28	katlau	3	
SHE_CHINA	shx	skin	763	28	kh~3	3	
YAO	ium	skin	763	28	dop	4	
HMU	hea	fire	221	82	tu	1	
XIANGXI_HMONG	mmr	fire	221	82	py~it3	1	
HMONG_NJUA	hnj	fire	221	82	teu	1	
BUNU	bwx	fire	221	82	katu	1	
SHE_CHINA	shx	fire	221	82	th~o	1	
YAO	ium	fire	221	82	tou	1	
HMU	hea	fish	227	19	zE	1	
XIANGXI_HMONG	mmr	fish	227	19	tamz3	1	
HMONG_NJUA	hnj	fish	227	19	nc~e	1	
BUNU	bwx	fish	227	19	nc~e	1	
SHE_CHINA	shx	fish	227	19	py~a	1	
YAO	ium	fish	227	19	by~au	1	
HMU	hea	dog	2009	21	lh~a	1	
XIANGXI_HMONG	mmr	dog	2009	21	taqw~3	1	
HMONG_NJUA	hnj	dog	2009	21	tle	1	
BUNU	bwx	dog	2009	21	tle	1	
SHE_CHINA	shx	dog	2009	21	ky~a	1	
YAO	ium	dog	2009	21	tTu	1	
HMU	hea	louse	1392	22	kantE	1	
XIANGXI_HMONG	mmr	louse	1392	22	tate	1	
HMONG_NJUA	hnj	louse	1392	22	to	1	
BUNU	bwx	louse	1392	22	katuna	1	
SHE_CHINA	shx	louse	1392	22	taN	1	
YAO	ium	louse	1392	22	tam	1	
HMU	hea	tree	906	23	t3	1	
XIANGXI_HMONG	mmr	tree	906	23	qont~u	1	
HMONG_NJUA	hnj	tree	906	23	nt~on	1	
BUNU	bwx	tree	906	23	nt~an	1	
SHE_CHINA	shx	tree	906	23	toN	1	
YAO	ium	tree	906	23	dy~aN	1	
HMU	hea	leaf	628	25	nu	1	
XIANGXI_HMONG	mmr	leaf	628	25	n3	1	
HMONG_NJUA	hnj	leaf	628	25	mpl$on	1	
BUNU	bwx	leaf	628	25	nt~Lan	1	
SHE_CHINA	shx	leaf	628	25	pyoN	1	
YAO	ium	leaf	628	25	nom	1	
HMU	hea	night	1233	92	Th~imh~am	1	
XIANGXI_HMONG	mmr	night	1233	92	tTh~mh~an	1	
HMONG_NJUA	hnj	night	1233	92	mh~au	1	
BUNU	bwx	night	1233	92	nt~onmun	1	
SHE_CHINA	shx	night	1233	92	mokaNch~i	2	
YAO	ium	night	1233	92	luNmw~ancan	1	
HMU	hea	blood	946	30	Th~n	1	
XIANGXI_HMONG	mmr	blood	946	30	nt~ch~i	1	
HMONG_NJUA	hnj	blood	946	30	nch$an	1	
BUNU	bwx	blood	946	30	nch$3n	1	
SHE_CHINA	shx	blood	946	30	sy~i	1	
YAO	ium	blood	946	30	cy~am	1	
HMU	hea	full	1429	95	pe	1	
XIANGXI_HMONG	mmr	full	1429	95	pe	1	
HMONG_NJUA	hnj	full	1429	95	po	1	
BUNU	bwx	full	1429	95	Ten	2	
SHE_CHINA	shx	full	1429	95	paN	1	
YAO	ium	full	1429	95	pw~aN	1	
HMU	hea	new	1231	96	xh~i	-1	
XIANGXI_HMONG	mmr	new	1231	96	TE	-1	
HMONG_NJUA	hnj	new	1231	96	ch~a	-1	
BUNU	bwx	new	1231	96	Tin	-1	
SHE_CHINA	shx	new	1231	96	t3hin	-1	
YAO	ium	new	1231	96	sy~an	-1	
HMU	hea	we	1212	3	pi	1	
XIANGXI_HMONG	mmr	we	1212	3	p3	1	
HMONG_NJUA	hnj	we	1212	3	pe	1	
BUNU	bwx	we	1212	3	pe	1	
SHE_CHINA	shx	we	1212	3	pa	1	
YAO	ium	we	1212	3	yebw~o	2	
HMU	hea	horn	1393	34	ki	1	
XIANGXI_HMONG	mmr	horn	1393	34	qoTe	1	
HMONG_NJUA	hnj	horn	1393	34	ko	1	
BUNU	bwx	horn	1393	34	Tun	1	
SHE_CHINA	shx	horn	1393	34	kaN	1	
YAO	ium	horn	1393	34	tT~oN	1	
HMU	hea	name	1405	100	zanpi	1	
XIANGXI_HMONG	mmr	name	1405	100	mp~u	1	
HMONG_NJUA	hnj	name	1405	100	mp~e	1	
BUNU	bwx	name	1405	100	mp~e83	1	
SHE_CHINA	shx	name	1405	100	mui	2	
YAO	ium	name	1405	100	meNbw~o	1	
HMU	hea	ear	1247	39	qazE	1	
XIANGXI_HMONG	mmr	ear	1247	39	tonmz3	1	
HMONG_NJUA	hnj	ear	1247	39	5tT$ou	1	
BUNU	bwx	ear	1247	39	kanc~ea	1	
SHE_CHINA	shx	ear	1247	39	kakh~uN	2	
YAO	ium	ear	1247	39	n3nom	1	
HMU	hea	eye	1248	40	5h~umE	1	
XIANGXI_HMONG	mmr	eye	1248	40	l3qe	2	
HMONG_NJUA	hnj	eye	1248	40	mua	1	
BUNU	bwx	eye	1248	40	kh~i mon	1	
SHE_CHINA	shx	eye	1248	40	kakh~o	3	
YAO	ium	eye	1248	40	mw~ciN	1	
HMU	hea	nose	1221	41	pozE	1	
XIANGXI_HMONG	mmr	nose	1221	41	pamzE	1	
HMONG_NJUA	hnj	nose	1221	41	nc~u	1	
BUNU	bwx	nose	1221	41	pinc~au	1	
SHE_CHINA	shx	nose	1221	41	kh~uNpiu	1	
YAO	ium	nose	1221	41	by~ut	1	
HMU	hea	tooth	1380	43	mh~i	1	
XIANGXI_HMONG	mmr	tooth	1380	43	qoTE	2	
HMONG_NJUA	hnj	tooth	1380	43	nh~a	-1	
BUNU	bwx	tooth	1380	43	famh~in	1	
SHE_CHINA	shx	tooth	1380	43	mun	1	
YAO	ium	tooth	1380	43	mun	-1	
HMU	hea	tongue	1205	44	qani	1	
XIANGXI_HMONG	mmr	tongue	1205	44	qomy~a	1	
HMONG_NJUA	hnj	tongue	1205	44	mp~lai	1	
BUNU	bwx	tongue	1205	44	kant~la	1	
