language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
NORTH_HIGHLAND_MIXE	mto	I	1209	1	3c	1	
SOUTH_HIGHLAND_MIXE	mxp	I	1209	1	3c	1	
LOWLAND_MIXE	mco	I	1209	1	3C	1	
SAYULA_POPOLUCA	pos	I	1209	1	3c	1	
OLUTA_POPOLUCA	plo	I	1209	1	3s	1	
TEXISTEPEC_ZOQUE	poq	I	1209	1	3c37	1	
SOTEAPAN_ZOQUE	poi	I	1209	1	3C	1	
MARIA_CHIMALAPA	zoh	I	1209	1	3cci7	1	
MIGUEL_CHIMALAPA	zoh	I	1209	1	d3S	2	
CHIAPAS_ZOQUE	zoc	I	1209	1	3h	1	
NORTH_HIGHLAND_MIXE	mto	thou	1215	2	mic	1	
SOUTH_HIGHLAND_MIXE	mxp	thou	1215	2	mec	1	
LOWLAND_MIXE	mco	thou	1215	2	miC	1	
SAYULA_POPOLUCA	pos	thou	1215	2	mi	1	also: miC
OLUTA_POPOLUCA	plo	thou	1215	2	mis	1	
TEXISTEPEC_ZOQUE	poq	thou	1215	2	biC	1	
SOTEAPAN_ZOQUE	poi	thou	1215	2	miC	1	
MARIA_CHIMALAPA	zoh	thou	1215	2	micci7	1	
MIGUEL_CHIMALAPA	zoh	thou	1215	2	miS	1	
CHIAPAS_ZOQUE	zoc	thou	1215	2	mih	1	
NORTH_HIGHLAND_MIXE	mto	we	1212	3	3c	1	
SOUTH_HIGHLAND_MIXE	mxp	we	1212	3	3c	1	
LOWLAND_MIXE	mco	we	1212	3	3C aht	1	
SAYULA_POPOLUCA	pos	we	1212	3	3hcat	1	
OLUTA_POPOLUCA	plo	we	1212	3	3catek	1	
TEXISTEPEC_ZOQUE	poq	we	1212	3	3c ta7	1	
MARIA_CHIMALAPA	zoh	we	1212	3	newiny~nen	2	
MIGUEL_CHIMALAPA	zoh	we	1212	3	neywin	2	
CHIAPAS_ZOQUE	zoc	we	1212	3	t3h	3	
NORTH_HIGHLAND_MIXE	mto	this	1214	4	y37e	1	
SOUTH_HIGHLAND_MIXE	mxp	this	1214	4	ya7at	1	
LOWLAND_MIXE	mco	this	1214	4	hada7	2	
SAYULA_POPOLUCA	pos	this	1214	4	ay3h	1	
OLUTA_POPOLUCA	plo	this	1214	4	he7	3	
TEXISTEPEC_ZOQUE	poq	this	1214	4	y373h37	1	
SOTEAPAN_ZOQUE	poi	this	1214	4	he7ep3k	4	
MARIA_CHIMALAPA	zoh	this	1214	4	y37 p37	1	
MIGUEL_CHIMALAPA	zoh	this	1214	4	y37	1	
CHIAPAS_ZOQUE	zoc	this	1214	4	y37 w3	1	
NORTH_HIGHLAND_MIXE	mto	that	78	5	Si7	1	
SOUTH_HIGHLAND_MIXE	mxp	that	78	5	hE7E	6	
LOWLAND_MIXE	mco	that	78	5	heh3mb3	2	
SAYULA_POPOLUCA	pos	that	78	5	yay3n	3	
OLUTA_POPOLUCA	plo	that	78	5	hamah	2	
SOTEAPAN_ZOQUE	poi	that	78	5	heam	2	
MIGUEL_CHIMALAPA	zoh	that	78	5	gad3	5	
CHIAPAS_ZOQUE	zoc	that	78	5	37	4	
NORTH_HIGHLAND_MIXE	mto	who	1235	6	p3n	1	
SOUTH_HIGHLAND_MIXE	mxp	who	1235	6	p3n	1	
LOWLAND_MIXE	mco	who	1235	6	p3n	1	
SAYULA_POPOLUCA	pos	who	1235	6	p3n	1	
OLUTA_POPOLUCA	plo	who	1235	6	p3n	1	
SOTEAPAN_ZOQUE	poi	who	1235	6	iapa7ap	4	
MARIA_CHIMALAPA	zoh	who	1235	6	iw3	2	
MIGUEL_CHIMALAPA	zoh	who	1235	6	iw3	2	
CHIAPAS_ZOQUE	zoc	who	1235	6	i w3	2	
NORTH_HIGHLAND_MIXE	mto	what	1236	7	ti	1	
SOUTH_HIGHLAND_MIXE	mxp	what	1236	7	ti	1	
LOWLAND_MIXE	mco	what	1236	7	ti	1	
