language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
JEH	jeh	I	1209	1	aut	1	
BAHNAR	bdq	I	1209	1	i5	2	
CHRAU	crw	I	1209	1	a5	2	also: i5
VIETNAMESE	vie	I	1209	1	toi	3	
RUC	scb	I	1209	1	ho	-1	
MON	mnw	I	1209	1	ay	2	
NYAKUR	cbn	I	1209	1	e5	2	
KHMER	khm	I	1209	1	kh~3nom	4	
SEMAI	sea	I	1209	1	E5	2	
WA	wbm	I	1209	1	37	1	
KSINMUL	puo	I	1209	1	a5	2	
KHASI	kha	I	1209	1	Na	-2	
MUNDARI	unr	I	1209	1	ain	2	
JEH	jeh	you	1213	2	mi	1	
CHRAU	crw	you	1213	2	mai	1	also: ai
VIETNAMESE	vie	you	1213	2	may	1	also: ti
RUC	scb	you	1213	2	mi	1	
MON	mnw	you	1213	2	beh	3	
NYAKUR	cbn	you	1213	2	ph~eh	3	
KHMER	khm	you	1213	2	EN	4	
KUI_THAILAND	kdt	you	1213	2	muaN	1	
SEMAI	sea	you	1213	2	hE7	2	
WA	wbm	you	1213	2	mai7	1	
DEANG	pce	you	1213	2	moi	1	
KHMU	kjg	you	1213	2	me	1	
KSINMUL	puo	you	1213	2	mih	1	
KHASI	kha	you	1213	2	me	1	
MUNDARI	unr	you	1213	2	am	1	
JEH	jeh	we	1212	3	yuan	1	
BAHNAR	bdq	we	1212	3	5on	1	
CHRAU	crw	we	1212	3	von	10	also: kh~ana5
VIETNAMESE	vie	we	1212	3	ta	2	also: mi5
RUC	scb	we	1212	3	Cupa	3	
MON	mnw	we	1212	3	puiy	4	
NYAKUR	cbn	we	1212	3	pEy	4	
KHMER	khm	we	1212	3	ya3N	5	
KUI_THAILAND	kdt	we	1212	3	mh~ai	6	
SEMAI	sea	we	1212	3	Zi7	7	
WA	wbm	we	1212	3	yi7	7	
DEANG	pce	we	1212	3	y3i	7	
KSINMUL	puo	we	1212	3	zi	7	
KHASI	kha	we	1212	3	Ni	-8	
MUNDARI	unr	we	1212	3	ale	9	
JEH	jeh	this	1214	4	mou	1	
BAHNAR	bdq	this	1214	4	nou	1	
RUC	scb	this	1214	4	ni	3	
MON	mnw	this	1214	4	na7	4	
NYAKUR	cbn	this	1214	4	o7	5	
KHMER	khm	this	1214	4	n3h	3	
SEMAI	sea	this	1214	4	adEh	3	
WA	wbm	this	1214	4	in	7	
KHMU	kjg	this	1214	4	k3 ki	8	
KHASI	kha	this	1214	4	ne	3	
MUNDARI	unr	this	1214	4	ni i7	3	
BAHNAR	bdq	that	78	5	ni	1	
RUC	scb	that	78	5	he	3	
MON	mnw	that	78	5	te7	4	
NYAKUR	cbn	that	78	5	te7	4	
KHMER	khm	that	78	5	noh	5	
KUI_THAILAND	kdt	that	78	5	k3i	2	
SEMAI	sea	that	78	5	aZeh	6	
WA	wbm	that	78	5	an	7	
DEANG	pce	that	78	5	d3	8	
KHMU	kjg	that	78	5	k3 ni	1	
KSINMUL	puo	that	78	5	p37ow	7	
KHASI	kha	that	78	5	ba	9	
MUNDARI	unr	that	78	5	han i7	10	
JEH	jeh	who	1235	6	bau	1	
BAHNAR	bdq	who	1235	6	bu	1	
RUC	scb	who	1235	6	ay	2	
NYAKUR	cbn	who	1235	6	35ah	3	
KHMER	khm	who	1235	6	kh~3nao	4	
KUI_THAILAND	kdt	who	1235	6	naw	4	
SEMAI	sea	who	1235	6	bo7	1	
WA	wbm	who	1235	6	mo7	6	
DEANG	pce	who	1235	6	se	7	
KHMU	kjg	who	1235	6	m3	6	
KSINMUL	puo	who	1235	6	noh	3	
MUNDARI	unr	who	1235	6	okoy	8	
JEH	jeh	what	1236	7	5ai	1	
BAHNAR	bdq	what	1236	7	ki3	2	
CHRAU	crw	what	1236	7	paC n7hy~a	3	also: mo7
VIETNAMESE	vie	what	1236	7	kai gi	2	
RUC	scb	what	1236	7	Cam3	4	
MON	mnw	what	1236	7	nu	5	
NYAKUR	cbn	what	1236	7	mo7	4	
KHMER	khm	what	1236	7	evi	6	
KUI_THAILAND	kdt	what	1236	7	na	5	
SEMAI	sea	what	1236	7	mah	4	
WA	wbm	what	1236	7	pati7	8	
DEANG	pce	what	1236	7	se muh	4	
KHMU	kjg	what	1236	7	m3h	4	
KSINMUL	puo	what	1236	7	h3lmoh	4	
MUNDARI	unr	what	1236	7	Ca na	10	
BAHNAR	bdq	no	1269	8	3h	1	
CHRAU	crw	no	1269	8	sun	1	also: daN
VIETNAMESE	vie	no	1269	8	kx~oN	2	
RUC	scb	no	1269	8	vaN	3	
MON	mnw	no	1269	8	ha	4	also: hw~a
NYAKUR	cbn	no	1269	8	ku	10	
KHMER	khm	no	1269	8	min	5	
SEMAI	sea	no	1269	8	pE7	6	
WA	wbm	no	1269	8	aN	7	
KHASI	kha	no	1269	8	em	8	
MUNDARI	unr	no	1269	8	ka	9	
MON	mnw	all	98	9	pa7uit	3	
NYAKUR	cbn	all	98	9	th~aN	-1	
KHMER	khm	all	98	9	tamN	1	
KUI_THAILAND	kdt	all	98	9	ai th~e	4	
SEMAI	sea	all	98	9	diC	5	
WA	wbm	all	98	9	to	-2	
DEANG	pce	all	98	9	dvi7	6	
KHMU	kjg	all	98	9	ku	7	
KHASI	kha	all	98	9	baroh	9	
MUNDARI	unr	all	98	9	soben	-3	
JEH	jeh	many	1198	10	k3dram	1	
BAHNAR	bdq	many	1198	10	th~3r	2	
CHRAU	crw	many	1198	10	go7	3	
VIETNAMESE	vie	many	1198	10	5ieu	4	
RUC	scb	many	1198	10	5iw	4	
MON	mnw	many	1198	10	gluiN	5	
NYAKUR	cbn	many	1198	10	kh~l3N	5	
KHMER	khm	many	1198	10	Cr~a3n	6	
KUI_THAILAND	kdt	many	1198	10	dal	7	
SEMAI	sea	many	1198	10	Z7~oy	8	
WA	wbm	many	1198	10	hun	9	
DEANG	pce	many	1198	10	mh~blam	1	
KHMU	kjg	many	1198	10	k3	10	
KSINMUL	puo	many	1198	10	gay	10	
KHASI	kha	many	1198	10	bun	11	
MUNDARI	unr	many	1198	10	bese	-1	
JEH	jeh	one	1493	11	mui	1	
BAHNAR	bdq	one	1493	11	mo5	1	
CHRAU	crw	one	1493	11	muoi	1	also: du
VIETNAMESE	vie	one	1493	11	mot	1	
RUC	scb	one	1493	11	moiC	1	
MON	mnw	one	1493	11	mw~ay	1	
NYAKUR	cbn	one	1493	11	mu3y	1	
KHMER	khm	one	1493	11	muey	1	
KUI_THAILAND	kdt	one	1493	11	mui	1	
SEMAI	sea	one	1493	11	nan37	2	
WA	wbm	one	1493	11	ti7	-1	
KHMU	kjg	one	1493	11	moy	1	
KSINMUL	puo	one	1493	11	met	-2	
KHASI	kha	one	1493	11	wei	4	
MUNDARI	unr	one	1493	11	miyod	1	
JEH	jeh	two	1498	12	bal	1	
BAHNAR	bdq	two	1498	12	bar	1	
CHRAU	crw	two	1498	12	var	1	
VIETNAMESE	vie	two	1498	12	hai	1	
RUC	scb	two	1498	12	hal	1	
MON	mnw	two	1498	12	ba	1	
NYAKUR	cbn	two	1498	12	bar	1	
KHMER	khm	two	1498	12	bir	1	
KUI_THAILAND	kdt	two	1498	12	bia	1	
SEMAI	sea	two	1498	12	nar	1	
WA	wbm	two	1498	12	ra	1	
KHMU	kjg	two	1498	12	par	1	
KSINMUL	puo	two	1498	12	soN	-1	
KHASI	kha	two	1498	12	ar	1	
MUNDARI	unr	two	1498	12	bar	1	
JEH	jeh	big	1202	13	tih	1	
BAHNAR	bdq	big	1202	13	tih	1	
CHRAU	crw	big	1202	13	ma7	2	
VIETNAMESE	vie	big	1202	13	lon	3	
RUC	scb	big	1202	13	m3am	4	
MON	mnw	big	1202	13	Znok	12	
NYAKUR	cbn	big	1202	13	3tol	5	
KHMER	khm	big	1202	13	dh~om	6	
KUI_THAILAND	kdt	big	1202	13	ph~3t	7	
SEMAI	sea	big	1202	13	nt~oy	5	
WA	wbm	big	1202	13	tiN	8	
DEANG	pce	big	1202	13	daN	13	
KHMU	kjg	big	1202	13	nam	9	
KSINMUL	puo	big	1202	13	do	5	
KHASI	kha	big	1202	13	kh~raw	10	
MUNDARI	unr	big	1202	13	maraN	11	
JEH	jeh	long	1203	14	proih	1	
BAHNAR	bdq	long	1203	14	keZuN	2	
CHRAU	crw	long	1203	14	joN	2	
VIETNAMESE	vie	long	1203	14	Zai	3	
RUC	scb	long	1203	14	yal	3	
MON	mnw	long	1203	14	ZliN	2	
NYAKUR	cbn	long	1203	14	kh~li5	2	
KHMER	khm	long	1203	14	vEN	4	
KUI_THAILAND	kdt	long	1203	14	nth$r3N	2	
SEMAI	sea	long	1203	14	Cr3kN	2	
WA	wbm	long	1203	14	laN	2	
DEANG	pce	long	1203	14	doN	2	
KHMU	kjg	long	1203	14	waN	5	
KSINMUL	puo	long	1203	14	3loN	2	
KHASI	kha	long	1203	14	ZeroN	2	
MUNDARI	unr	long	1203	14	ZiliN	2	
JEH	jeh	small	1246	15	t3si	1	
CHRAU	crw	small	1246	15	ken	3	
VIETNAMESE	vie	small	1246	15	5o	4	
RUC	scb	small	1246	15	dEdE	5	
MON	mnw	small	1246	15	5i	4	
NYAKUR	cbn	small	1246	15	nd~iC	6	
KHMER	khm	small	1246	15	tuC	6	
KUI_THAILAND	kdt	small	1246	15	kEt	7	
SEMAI	sea	small	1246	15	maCo*t	8	
WA	wbm	small	1246	15	iak	9	
DEANG	pce	small	1246	15	diat	6	
KHMU	kjg	small	1246	15	nE	4	
KSINMUL	puo	small	1246	15	nek	10	
KHASI	kha	small	1246	15	rit	11	
MUNDARI	unr	small	1246	15	kuniN	12	
BAHNAR	bdq	woman	962	16	drakan	1	
MON	mnw	woman	962	16	brau	3	
NYAKUR	cbn	woman	962	16	ph~3ph~raw	3	
KHMER	khm	woman	962	16	stri	-2	
KUI_THAILAND	kdt	woman	962	16	kuik3pai	4	
SEMAI	sea	woman	962	16	krdor	5	
WA	wbm	woman	962	16	bun	6	
DEANG	pce	woman	962	16	i pon	6	
KHMU	kjg	woman	962	16	C3mk3n	1	
KSINMUL	puo	woman	962	16	kh~on5i5	-3	
KHASI	kha	woman	962	16	briw	3	
MUNDARI	unr	woman	962	16	kuri	9	
BAHNAR	bdq	man	1554	17	droNlo	1	
MON	mnw	man	1554	17	tru7	3	
NYAKUR	cbn	man	1554	17	tuytruZ	3	
KHMER	khm	man	1554	17	purah	-1	
KUI_THAILAND	kdt	man	1554	17	kui th~ol	4	
SEMAI	sea	man	1554	17	kral	5	
WA	wbm	man	1554	17	sime7	6	
DEANG	pce	man	1554	17	mai	6	
KHMU	kjg	man	1554	17	C3mpro	-2	
KSINMUL	puo	man	1554	17	kh~onsay	-3	
KHASI	kha	man	1554	17	ai briw	3	
MUNDARI	unr	man	1554	17	kora	7	
JEH	jeh	person	683	18	m3Nai	1	
BAHNAR	bdq	person	683	18	b3Nai	1	
CHRAU	crw	person	683	18	tamun	2	
VIETNAMESE	vie	person	683	18	Nuoi	1	
RUC	scb	person	683	18	Nay	1	
MON	mnw	person	683	18	mnih	-1	
NYAKUR	cbn	person	683	18	m3nih	-1	
KHMER	khm	person	683	18	manus	-1	
KUI_THAILAND	kdt	person	683	18	kui	3	
SEMAI	sea	person	683	18	sn7~oy	1	
WA	wbm	person	683	18	pui	4	
DEANG	pce	person	683	18	to i	5	
KHMU	kjg	person	683	18	k3mmu	6	
KSINMUL	puo	person	683	18	ksiN	7	
KHASI	kha	person	683	18	briw	8	
MUNDARI	unr	person	683	18	horo	9	
JEH	jeh	fish	227	19	ka	1	
BAHNAR	bdq	fish	227	19	ka	1	
CHRAU	crw	fish	227	19	ka	1	
VIETNAMESE	vie	fish	227	19	ka	1	
RUC	scb	fish	227	19	aka	1	
MON	mnw	fish	227	19	ka	1	
NYAKUR	cbn	fish	227	19	ka7	1	
KHMER	khm	fish	227	19	tr~i	2	
KUI_THAILAND	kdt	fish	227	19	ka	1	
SEMAI	sea	fish	227	19	ka7	1	
WA	wbm	fish	227	19	ka7	1	
DEANG	pce	fish	227	19	ka	1	
KHMU	kjg	fish	227	19	ka	1	
KSINMUL	puo	fish	227	19	ka	1	
KHASI	kha	fish	227	19	dohkh~a	1	
MUNDARI	unr	fish	227	19	hai	1	
JEH	jeh	bird	937	20	Cim	1	
BAHNAR	bdq	bird	937	20	s3m	1	
CHRAU	crw	bird	937	20	sum	1	
VIETNAMESE	vie	bird	937	20	tim	1	
RUC	scb	bird	937	20	iCim	1	
MON	mnw	bird	937	20	gaCem	1	
NYAKUR	cbn	bird	937	20	5Ci3m	1	
KHMER	khm	bird	937	20	sat slap	2	
KUI_THAILAND	kdt	bird	937	20	CEml	1	
SEMAI	sea	bird	937	20	CEpm~	1	
WA	wbm	bird	937	20	sim	1	
DEANG	pce	bird	937	20	siN	1	
KHMU	kjg	bird	937	20	sim	1	
KSINMUL	puo	bird	937	20	Cem	1	
KHASI	kha	bird	937	20	sim	1	
MUNDARI	unr	bird	937	20	Cene	-1	
JEH	jeh	dog	2009	21	Co	1	
BAHNAR	bdq	dog	2009	21	ko	2	
CHRAU	crw	dog	2009	21	so	1	
VIETNAMESE	vie	dog	2009	21	to	1	
RUC	scb	dog	2009	21	aCo	1	
MON	mnw	dog	2009	21	kluiw	3	
NYAKUR	cbn	dog	2009	21	Ch~ur	3	
KHMER	khm	dog	2009	21	Ch~3kE	2	
KUI_THAILAND	kdt	dog	2009	21	Ca	1	
SEMAI	sea	dog	2009	21	Co7	1	
WA	wbm	dog	2009	21	so7	1	
DEANG	pce	dog	2009	21	a7o7	5	
KHMU	kjg	dog	2009	21	so	1	
KSINMUL	puo	dog	2009	21	ksew	1	
KHASI	kha	dog	2009	21	ksew	1	
MUNDARI	unr	dog	2009	21	seta	4	
JEH	jeh	louse	1392	22	k3Cay	1	
BAHNAR	bdq	louse	1392	22	si	1	
CHRAU	crw	louse	1392	22	si	1	
VIETNAMESE	vie	louse	1392	22	ti	1	
RUC	scb	louse	1392	22	Ci	1	
MON	mnw	louse	1392	22	Cay	1	
NYAKUR	cbn	louse	1392	22	Cay	1	
KHMER	khm	louse	1392	22	Cay	1	
KUI_THAILAND	kdt	louse	1392	22	5CE7	1	
SEMAI	sea	louse	1392	22	CE7	1	
WA	wbm	louse	1392	22	si7	1	
DEANG	pce	louse	1392	22	sai	1	
KHMU	kjg	louse	1392	22	se	1	
KSINMUL	puo	louse	1392	22	cey	1	
KHASI	kha	louse	1392	22	ksi	1	
MUNDARI	unr	louse	1392	22	si ku	1	
JEH	jeh	tree	906	23	loN	1	
BAHNAR	bdq	tree	906	23	loN	1	
CHRAU	crw	tree	906	23	Ch~o	2	
VIETNAMESE	vie	tree	906	23	kay	3	
RUC	scb	tree	906	23	k3y	3	
MON	mnw	tree	906	23	Ch~u	2	
NYAKUR	cbn	tree	906	23	Ch~u7	2	
KHMER	khm	tree	906	23	ta3m Zh~a3	2	
SEMAI	sea	tree	906	23	Zh~u7	2	
WA	wbm	tree	906	23	kh~au7	2	
DEANG	pce	tree	906	23	he	5	
KHMU	kjg	tree	906	23	s37oN	6	
KSINMUL	puo	tree	906	23	C37u3N	6	
KHASI	kha	tree	906	23	dieN	7	
MUNDARI	unr	tree	906	23	daru	8	
VIETNAMESE	vie	seed	714	24	hot	1	
RUC	scb	seed	714	24	kayaN	1	
NYAKUR	cbn	seed	714	24	kh~rap	-2	
KHMER	khm	seed	714	24	grap	2	
KUI_THAILAND	kdt	seed	714	24	klaN	3	
SEMAI	sea	seed	714	24	sip	4	
WA	wbm	seed	714	24	sok	5	
DEANG	pce	seed	714	24	kau	6	
KHMU	kjg	seed	714	24	p3liar	7	
KHASI	kha	seed	714	24	sinai	8	
MUNDARI	unr	seed	714	24	hita	9	
JEH	jeh	leaf	628	25	la	1	
BAHNAR	bdq	leaf	628	25	hla	1	
CHRAU	crw	leaf	628	25	la	1	
VIETNAMESE	vie	leaf	628	25	la	1	
RUC	scb	leaf	628	25	ula	1	
MON	mnw	leaf	628	25	sla	1	
NYAKUR	cbn	leaf	628	25	hla7	1	
KHMER	khm	leaf	628	25	s3l3k	4	
KUI_THAILAND	kdt	leaf	628	25	sla	1	
SEMAI	sea	leaf	628	25	sla7	1	
WA	wbm	leaf	628	25	hla7	1	
DEANG	pce	leaf	628	25	hla	1	
KHMU	kjg	leaf	628	25	la	1	
KSINMUL	puo	leaf	628	25	b3w	2	
KHASI	kha	leaf	628	25	sla	1	
MUNDARI	unr	leaf	628	25	sakam	3	
JEH	jeh	root	670	26	riah	1	
BAHNAR	bdq	root	670	26	r3h	1	
CHRAU	crw	root	670	26	diyieh	1	
VIETNAMESE	vie	root	670	26	re	1	
RUC	scb	root	670	26	liErih	1	
MON	mnw	root	670	26	ruih	1	
NYAKUR	cbn	root	670	26	rihrak	1	
KHMER	khm	root	670	26	r3k	1	
KUI_THAILAND	kdt	root	670	26	rEh	1	
SEMAI	sea	root	670	26	r7~es	1	
WA	wbm	root	670	26	riah	1	
DEANG	pce	root	670	26	riaih	1	
KHMU	kjg	root	670	26	rias	1	
KSINMUL	puo	root	670	26	geh	1	
KHASI	kha	root	670	26	tinrai	1	
MUNDARI	unr	root	670	26	red	1	
JEH	jeh	bark	1204	27	k3duh	1	
BAHNAR	bdq	bark	1204	27	hmok	2	
CHRAU	crw	bark	1204	27	mo7	2	
VIETNAMESE	vie	bark	1204	27	vo kay	3	
RUC	scb	bark	1204	27	k3duh	1	
MON	mnw	bark	1204	27	sakow	4	
NYAKUR	cbn	bark	1204	27	Nku3r	4	
KHMER	khm	bark	1204	27	s3mbak	2	
KUI_THAILAND	kdt	bark	1204	27	mph~ua7	2	
SEMAI	sea	bark	1204	27	Ckop	5	
WA	wbm	bark	1204	27	hlo7	6	
DEANG	pce	bark	1204	27	go7	10	
KHMU	kjg	bark	1204	27	h3mpok	2	
KSINMUL	puo	bark	1204	27	b3N	7	
KHASI	kha	bark	1204	27	snep	8	
MUNDARI	unr	bark	1204	27	harta	9	
JEH	jeh	skin	763	28	pal	1	
BAHNAR	bdq	skin	763	28	3kar	2	
CHRAU	crw	skin	763	28	nto	3	
VIETNAMESE	vie	skin	763	28	Za	4	
RUC	scb	skin	763	28	karot	-1	
MON	mnw	skin	763	28	snam	5	
NYAKUR	cbn	skin	763	28	hnam	5	
KHMER	khm	skin	763	28	s3pEk	6	
SEMAI	sea	skin	763	28	gt37	3	
WA	wbm	skin	763	28	hak	7	
DEANG	pce	skin	763	28	hur	8	
KHMU	kjg	skin	763	28	h3mpur	8	
KSINMUL	puo	skin	763	28	b3N	9	
KHASI	kha	skin	763	28	kh~oh	10	
MUNDARI	unr	skin	763	28	ur	8	
JEH	jeh	meat	634	29	sinek	1	
BAHNAR	bdq	meat	634	29	5em	2	
CHRAU	crw	meat	634	29	goN	3	
VIETNAMESE	vie	meat	634	29	8it	1	
RUC	scb	meat	634	29	sit	1	
MON	mnw	meat	634	29	Cun	4	
NYAKUR	cbn	meat	634	29	hw~a7	5	
KHMER	khm	meat	634	29	saC	1	
KUI_THAILAND	kdt	meat	634	29	saC	1	
SEMAI	sea	meat	634	29	sEC	1	
WA	wbm	meat	634	29	ne7	6	
DEANG	pce	meat	634	29	yoN	7	
KHMU	kjg	meat	634	29	ah	8	
KSINMUL	puo	meat	634	29	ksoN	9	
KHASI	kha	meat	634	29	doh	10	
MUNDARI	unr	meat	634	29	Zilu	11	
JEH	jeh	blood	946	30	ph~am	1	
BAHNAR	bdq	blood	946	30	ph~am	1	
CHRAU	crw	blood	946	30	n7ham	1	
VIETNAMESE	vie	blood	946	30	mau	2	
RUC	scb	blood	946	30	asam	1	
MON	mnw	blood	946	30	Ch~im	1	
NYAKUR	cbn	blood	946	30	Ch~im	1	
KHMER	khm	blood	946	30	Zh~am	1	
KUI_THAILAND	kdt	blood	946	30	3ham	1	
SEMAI	sea	blood	946	30	bh~ipm~	1	
WA	wbm	blood	946	30	nh~am	1	
DEANG	pce	blood	946	30	nh~am	1	
KHMU	kjg	blood	946	30	mam	1	
KSINMUL	puo	blood	946	30	mi3m	1	
KHASI	kha	blood	946	30	snam	1	
MUNDARI	unr	blood	946	30	mayam	1	
JEH	jeh	bone	1394	31	k3siaN	1	
BAHNAR	bdq	bone	1394	31	k3tiN	1	
CHRAU	crw	bone	1394	31	ntiN	1	
VIETNAMESE	vie	bone	1394	31	SuoN	1	
RUC	scb	bone	1394	31	saN	1	
MON	mnw	bone	1394	31	Zut	2	
NYAKUR	cbn	bone	1394	31	Ch~3lut	2	
KHMER	khm	bone	1394	31	Ch7$3N	1	
KUI_THAILAND	kdt	bone	1394	31	Nh~aN	1	
SEMAI	sea	bone	1394	31	Z7~akN~	1	
WA	wbm	bone	1394	31	sisaN	1	
DEANG	pce	bone	1394	31	"k""7~aN"	1	
KHMU	kjg	bone	1394	31	C37aN	1	
KSINMUL	puo	bone	1394	31	laN	1	
KHASI	kha	bone	1394	31	"sh""~ieN"	1	
MUNDARI	unr	bone	1394	31	ZaN	1	
JEH	jeh	fat	1282	32	p3dreN	1	
BAHNAR	bdq	fat	1282	32	r3ma	-1	
RUC	scb	fat	1282	32	kluN	3	
MON	mnw	fat	1282	32	kleN	3	
NYAKUR	cbn	fat	1282	32	k3li5	3	
KHMER	khm	fat	1282	32	kh~la5	3	
KUI_THAILAND	kdt	fat	1282	32	5Ch~EN	4	
SEMAI	sea	fat	1282	32	l7~us	5	
WA	wbm	fat	1282	32	b3	6	
MUNDARI	unr	fat	1282	32	itil	7	
JEH	jeh	egg	744	33	t3tap	1	
CHRAU	crw	egg	744	33	Cap	1	
VIETNAMESE	vie	egg	744	33	CuN	2	
RUC	scb	egg	744	33	t3lul	8	
MON	mnw	egg	744	33	kh~amhay	3	
NYAKUR	cbn	egg	744	33	ph~oN	-4	
KHMER	khm	egg	744	33	boN	4	
KUI_THAILAND	kdt	egg	744	33	nth$rEl	8	
SEMAI	sea	egg	744	33	pNl3kN~	2	
WA	wbm	egg	744	33	tom	5	
DEANG	pce	egg	744	33	krau	6	
